縣市別,鄉鎮市區別,診所名稱,診所地址,診所電話
臺北市,萬華區,盧漢隆耳鼻喉科診所,臺北市萬華區環河南路二段197號,02-23361363
新北市,林口區,穎欣診所,新北市林口區文化二路1段535號1F,02-26069786
新北市,中和區,翰霖耳鼻喉科診所,新北市中和區景安路202號,02-22462238
新北市,板橋區,興安診所,新北市板橋區龍興街51號,02-29652683
屏東縣,內埔鄉,蕭文熙診所,屏東縣內埔鄉廣濟路149號,08-7692999
新北市,板橋區,蕭正輝兒科診所,新北市板橋區文化路二段137號1樓,02-22501101
彰化縣,和美鎮,蕭國隆小兒科診所,彰化縣和美鎮彰美路5段255號,04-7553021
高雄市,三民區,蕭瑞榮小兒科診所,高雄市三民區建工路533號,07-3867121
新北市,林口區,親子耳鼻喉科診所,新北市林口區仁愛路二段113.115.117號1樓,02-26016068
臺中市,南屯區,親子診所,臺中市南屯區黎明路一段1091號,04-23862626
臺北市,松山區,親親家庭診所,臺北市松山區南京東路5段347號1樓,02-25283232
新北市,泰山區,賴和鴻診所,新北市泰山區明志路二段42號1樓,02-29094502
嘉義縣,民雄鄉,賴政友診所,嘉義縣民雄鄉東榮村和平路9號,05-2266550
新北市,三重區,賴美里診所,新北市三重區重新路三段106號,02-89725629
新竹市,東區,賴閔宦小兒科診所,新竹市東區南大路387-1號,03-5611238
臺東縣,臺東市,賴鵬雲診所,臺東縣臺東市正氣路153號,089-310070
新北市,新莊區,錦明耳鼻喉科診所,新北市新莊區民安路195號,02-22028080
臺北市,中山區,龍江固亷診所,臺北市中山區龍江路360號,02-25170093
桃園市,龍潭區,龍欣耳鼻喉科診所,桃園市龍潭區中正路254號,03-4808306
新北市,三重區,龍華診所,新北市三重區五華街100號,02-29883500
臺中市,北屯區,優幼診所,臺中市北屯區北屯路435-16號,04-22493636
新北市,中和區,優寶婦產科診所,新北市中和區華新街22號,02-86689519
高雄市,三民區,儲昭仁耳鼻喉科診所,高雄市三民區九如一路854號,07-3890470
新北市,中和區,戴廣懷小兒科診所,新北市中和區安樂路66號,02-29414451
桃園市,中壢區,聯心診所,桃園市中壢區民族路五段310號,03-4205017
新北市,新莊區,聯安診所,新北市新莊區中正路330號,02-29986191
臺南市,善化區,聯和耳鼻喉科診所,臺南市善化區大成路312之1號,06-5851696
新北市,新莊區,聯福診所,新北市新莊區民安路232號,02-22014370
新北市,板橋區,聯德診所,新北市板橋區溪北路13號,02-86871766
新北市,三重區,聰明耳鼻喉科,新北市三重區重新路2段14號1樓,02-89727370
臺中市,南屯區,薛凱中診所,臺中市南屯區大墩路383號,04-24716898
高雄市,鼓山區,謝加晉診所,高雄市鼓山區民利街1號1樓,07-5532526
臺南市,新營區,謝兆唐診所,臺南市新營區民治路60-2號,06-6377070
臺中市,北區,謝佳璋小兒科診所,臺中市北區漢口路四段357號號,04-22355918
新北市,三重區,謝明宏小兒科,新北市三重區中華路43號,02-29816425
新北市,深坑區,謝家庭醫學科診所,新北市深坑區北深路二段200號,02-26628081
新竹市,東區,謝德貴兒童診所,新竹市東區光復路一段360-2號,03-6686666
桃園市,桃園區,鴻林耳鼻喉科診所,桃園市桃園區中正路567號,03-3377088
宜蘭縣,羅東鎮,藍正州小兒科診所,宜蘭縣羅東鎮南門路20號,03-9531168
彰化縣,鹿港鎮,豐安診所,彰化縣鹿港鎮海浴路11之1號,04-7746395
臺南市,新營區,顏內小兒科診所,臺南市新營區民權路82號,06-6320209
臺南市,安南區,魏大倫耳鼻喉科診所,臺南市安南區安和路一段356號,06-2568119
桃園市,大園區,懷德耳鼻喉科診所,桃園市大園區中正東路19-1號,03-3868878
桃園市,八德區,瀚文耳鼻喉科診所,桃園市八德區桃鶯路5號,03-3641252
新竹縣,新豐鄉,羅世績診所,新竹縣新豐鄉建興路一段154-10號,03-5593399
新北市,土城區,羅林小兒科診所,新北市土城區裕民路83號1、2樓,02-82733026
新北市,新莊區,寶祥診所,新北市新莊區中平路53號,02-29960303
桃園市,桃園區,寶順診所,桃園市桃園區寶山街239號,03-3560127
新北市,新店區,耀程耳鼻喉科診所,新北市新店區三民路66號,02-29171110
新北市,蘆洲區,蘆洲現代耳鼻喉科診所,新北市蘆洲區集賢路306號1樓,02-82811112
新北市,蘆洲區,蘆洲集賢耳鼻喉科診所,新北市蘆洲區集賢路306號1樓,02-82811112
臺中市,西屯區,蘇家龍診所,臺中市西屯區黎明路三段421號,04-27085151
臺中市,北屯區,蘇游耳鼻喉科診所,台中市北屯區昌平路一段99之3號,04-22462420
臺中市,南屯區,蘇德慶診所,臺中市南屯區東興路二段57號1樓,04-24717572
桃園市,中壢區,馨心親子耳鼻喉科診所,桃園市中壢區中山東路二段536號1樓,03-4655665
